"participer";-0.07775;0.0022;0.34928;0.06953
"États-Unis";0.32145;0.15697;0.53469;0.67892
"dernier";-0.14013;0.02028;0.25242;0.10289
"source";-0.53616;0.33189;-0.0942;0.01602
"industriel";0.15456;0.03556;0.47929;0.53461
"technologique";-0.11608;0.01228;-0.30132;0.12937
"accès";-0.92689;0.91358;-0.59558;0.58964
"prise";-0.42469;0.12056;0.07252;0.0055
"établissement";0.78262;0.09304;-0.66433;0.10481
"numérique";0.38169;0.04426;-0.35592;0.06017
"évoquer";0.24503;0.0602;-0.37871;0.22478
"photographique";0.13856;0.02741;0.01075;0.00026
"peuple";0.26467;0.02554;0.43766;0.10917
"enfin";0.4351;0.08628;-0.02177;0.00034
"mouvement";0.226;0.05897;0.31929;0.18399
"environnement";-0.37452;0.14063;-0.41379;0.26836
"lors";0.03085;0.00052;0.14849;0.01885
"professionnel";0.25505;0.03755;0.03774;0.00129
"moral";0.49366;0.12587;-0.0282;0.00064
"penser";-0.26982;0.03982;0.22344;0.04268
"après";0.30146;0.08283;0.08103;0.00936
"commun";-0.08813;0.00378;-0.08245;0.00517
"début";-0.25103;0.06127;0.21875;0.07273
"cycle";-0.00838;8e-05;-0.20797;0.07601
"exercer";0.34588;0.05089;-0.22786;0.03452
"repère";0.41269;0.21733;-0.14524;0.04208
"EMC";1.32383;0.26623;-0.79924;0.1517
"phénomène";0.05198;0.00369;0.39802;0.33859
"transformation";0.12394;0.0196;-0.02363;0.00111
"lumière";0.24551;0.07692;0.98843;1.94892
"science";-0.13022;0.01443;0.18864;0.04732
"limiter";-0.12502;0.0171;-0.04429;0.00335
"confronter";-0.00492;2e-05;0.00849;7e-05
"compte";-0.01923;0.00028;-0.0475;0.00268
"inscrire";-0.0314;0.00099;0.13242;0.02748
"fonctionnement";-0.43262;0.04549;-0.25716;0.02513
"lycée";0.38668;0.09085;-0.14869;0.021
"reposer";0.11749;0.00461;-0.53644;0.15034
"environ";-0.33023;0.12922;0.37213;0.25651
"XVIIIe";0.20745;0.04969;1.03711;1.94125
"envisager";-0.18413;0.03193;0.03395;0.0017
"offrir";-0.01923;0.00039;-0.0475;0.00375
"seul";0.3074;0.07751;0.11816;0.0179
"cause";0.04486;0.00153;0.35347;0.14835
"sujet";0.3037;0.07566;-0.03535;0.0016
"religion";-0.6287;0.44433;0.003;2e-05
"jusque";-0.01069;0.00012;0.30775;0.15744
"inégal";-0.53899;0.37953;-0.07308;0.01091
"public";0.32435;0.06712;0.22423;0.05015
"militaire";0.18579;0.04615;-0.26918;0.15142
"représentatif";0.60708;0.04479;0.52603;0.05257
"républicain";0.55342;0.13027;0.31604;0.06642
"cependant";0.01833;0.00041;0.09949;0.0188
