"troisième";-0.38151;0.08759;0.04869;0.00305;-0.10952;0.02578
"texte";-0.8504;0.32642;-0.40627;0.15949;0.60443;0.58899
"interroger";0.42993;0.08343;0.14268;0.01967;0.27976;0.12617
"activité";0.37734;0.09855;-0.32979;0.16114;0.0104;0.00027
"démographique";1.01622;0.99443;0.19926;0.08184;0.24987;0.21473
"médias";0.98146;0.07247;-0.6643;0.07107;-0.62003;0.1033
"vers";0.02586;0.00056;-0.02008;0.00073;-0.24962;0.18751
"éviter";0.06616;0.00362;-0.16729;0.04958;0.04823;0.00688
"association";0.05555;0.00065;-0.05893;0.00157;-0.32261;0.0783
"tel";-0.50188;0.14781;-0.23231;0.06779;0.24323;0.12399
"image";-0.37295;0.09627;-0.39567;0.23196;0.34129;0.28793
"universel";-0.36947;0.04929;0.58748;0.2668;-0.59954;0.46359
"finalité";0.09169;0.00025;0.03983;1e-04;0.98357;0.10398
"autrui";-1.03213;0.01603;-0.79061;0.02013;0.8261;0.03667
"moyen";-0.04595;0.00146;-0.22051;0.07204;0.11866;0.03481
"régime";-0.9205;0.57369;0.16704;0.04044;-0.02322;0.0013
"rendre";-0.37153;0.09553;-0.03901;0.00225;0.24062;0.14312
"devenir";-0.31503;0.07765;0.06447;0.00696;-0.20765;0.1205
"origine";-0.04934;0.00143;-0.29512;0.10941;-0.08898;0.0166
"spatial";1.0352;0.98355;0.35493;0.24752;0.42256;0.58534
"analyser";0.34703;0.04892;0.66452;0.38403;0.16148;0.03784
"notre";-0.36286;0.03566;1.068;0.6613;-0.64174;0.39837
"conflit";-0.27414;0.06785;0.51439;0.51134;-0.38027;0.46626
"Histoire";-0.94522;0.75279;-0.65322;0.76965;0.62873;1.18962
"aujourd'hui";0.33691;0.05636;-0.06216;0.00411;0.01699;0.00051
"flux";1.04691;0.97295;-0.23514;0.10507;-0.12752;0.05156
"conduire";0.43934;0.11326;-0.10858;0.01481;-0.24208;0.12282
"www";-0.32702;0.09815;-0.88342;1.53337;0.14576;0.06964
"objet";-0.21529;0.01325;-0.15052;0.01386;0.09554;0.00932
"cur";-0.11077;0.00462;0.13607;0.01491;0.25112;0.08472
"ordre";-0.61565;0.26803;-0.14152;0.03032;0.05656;0.00808
"conquête";-0.75362;0.30762;-0.30989;0.11136;0.27321;0.14441
"exprimer";-0.01533;4e-05;-0.02349;2e-04;0.60368;0.21543
"global";0.71858;0.42729;0.27126;0.13035;0.39229;0.45485
"analyse";0.87462;0.43736;0.04979;0.00303;0.03733;0.00285
"différence";-0.01253;2e-05;0.19045;0.01051;0.31704;0.04862
"support";-0.90225;0.57566;-0.76337;0.88218;0.66697;1.12357
"particulièrement";0.45675;0.1287;0.13585;0.02437;-0.01192;0.00031
"régional";0.99916;0.84115;0.16951;0.05183;0.27298;0.22426
"évidence";0.63679;0.22574;-0.04464;0.00237;-0.01624;0.00052
"empire";-0.83416;0.59675;0.60895;0.68081;-0.45224;0.62648
"expliquer";-0.26988;0.02411;0.2225;0.03508;-0.03568;0.00151
"pauvre";0.94278;0.78903;-0.91789;1.60109;-0.91105;2.63168
"vivre";-0.14918;0.0077;-0.03401;0.00086;0.34569;0.14771
"suffrage";-0.82106;0.17243;1.02008;0.56977;-0.77976;0.55547
"loin";-0.15716;0.01932;-0.82808;1.14849;-0.00094;0
"engager";-0.21677;0.00919;-0.43662;0.07982;0.29923;0.06255
"intérêt";-0.41475;0.06729;-0.17014;0.02424;0.3069;0.1316
"mobilité";1.15282;1.11976;0.45923;0.38039;0.66933;1.34823
"aménagement";1.11268;1.04315;0.42957;0.33285;0.66371;1.32567
"niveau";0.81584;0.39057;-0.37184;0.17368;-0.44237;0.41014
