  ;facteur;NA;NA;NA;NA;NA;NA;NA;NA;NA;
pratique;0.292;0.114;0.089;0.115;0.038;0.101;0;0.033;0.205;0.012
quelque;0.037;0.046;0.392;0.136;0.008;0.015;0.104;0.062;0.013;0.176
effet;0.646;0.02;0.014;0.002;0.027;0.004;0.001;0.059;0.209;0.002
pédagogique;0.144;0.055;0.234;0;0.003;0.066;0.102;0.185;0.064;0.144
rapport;0.28;0.24;0.131;0.017;0.03;0.004;0;0.025;0.076;0.194
dimension;0.002;0.061;0.174;0.025;0.105;0.002;0.056;0.427;0.119;0.016
culturel;0.007;0.132;0.096;0.516;0.1;0.009;0.001;0.064;0.074;0
projet;0.107;0.273;0.01;0.092;0.003;0.002;0.079;0.124;0.207;0.03
identifier;0.353;0.031;0.027;0.062;0.026;0.144;0.255;0.004;0.042;0.018
alors;0.309;0.009;0.131;0.016;0.05;0.093;0.009;0;0.164;0.014
terme;0.178;0.007;0.442;0.025;0.147;0.002;0.02;0.146;0.022;0.006
identité;0.054;0.313;0.216;0.129;0;0.004;0.002;0.001;0.172;0.097
sous;0.021;0.028;0.336;0.13;0.01;0.01;0.076;0.231;0.086;0.065
sein;0.19;0.046;0.052;0.09;0.038;0.001;0.093;0.152;0.166;0.08
respect;0.046;0.117;0.258;0.027;0.217;0.143;0.001;0.01;0.063;0.098
métropole;0.265;0.388;0.075;0.102;0.137;0.001;0.02;0.006;0.002;0.002
principal;0.233;0.306;0.12;0.057;0.133;0.017;0.022;0.015;0.038;0.004
crise;0.188;0.003;0.249;0.007;0.16;0.047;0.051;0.193;0.043;0.023
présenter;0.274;0.026;0.094;0.104;0.068;0.012;0.009;0.076;0.029;0.242
selon;0.34;0.003;0.219;0.151;0.082;0.008;0.003;0.011;0.142;0.039
État;0.053;0.015;0.007;0.378;0;0.044;0.159;0.17;0.099;0.022
objectif;0.115;0.005;0.013;0.126;0.057;0.245;0.13;0.149;0.005;0
