"important";0.04226;0.00177;-0.10971;0.01289;-0.1344;0.0279;0.14603;0.05345;0.08456;0.02282
"capacité";-0.03139;0.00123;0.15519;0.03261;0.18739;0.06859;0.34918;0.38648;-0.23373;0.22044
"heure";-0.29672;0.02305;0.5211;0.07695;-0.55424;0.12559;-0.18061;0.02164;-0.54441;0.25032
"encore";0.21432;0.06816;-0.08486;0.01156;-0.2505;0.14539;0.30064;0.3398;0.11894;0.06771
"période";0.03227;0.00203;-0.22906;0.1107;-0.10863;0.03591;0.51365;1.30305;-0.28707;0.51814
"local";-0.0409;0.00312;-0.29294;0.17293;0.13632;0.05403;0.19143;0.17288;-0.19309;0.22393
"dynamique";0.47609;0.50777;-0.13905;0.04688;0.06729;0.01584;0.0206;0.00241;-0.03053;0.00674
"nombreux";-0.16211;0.04282;0.02251;0.00089;-0.07073;0.01273;0.11136;0.0512;-0.0572;0.0172
"entrée";0.25987;0.07859;-0.14441;0.02627;0.25132;0.11477;0.35331;0.36806;-0.15623;0.09162
"document";0.23297;0.08843;0.60569;0.64689;0.72846;1.34998;0.30322;0.37954;0.15926;0.1333
"Afrique";-0.303;0.21102;-0.09926;0.02451;-0.30289;0.32924;-0.19354;0.21813;0.4787;1.69884
"règle";-0.60409;0.0637;0.14784;0.00413;-0.28572;0.02225;-0.38185;0.06449;0.27296;0.04195
"article";-0.04018;0.00042;-0.25528;0.01847;-0.4805;0.0944;0.17325;0.01991;0.6097;0.31396
"religieux";-0.68141;0.9051;-0.31081;0.2038;0.23852;0.17316;0.04662;0.01073;0.01503;0.00142
"très";-0.29109;0.15532;-0.05626;0.00628;-0.15852;0.07192;-0.08457;0.03322;0.25502;0.38448
"aller";-0.33829;0.21976;0.766;1.21941;0.1004;0.03022;-0.00607;0.00018;0.03335;0.00689
"fin";-0.00268;1e-05;0.05236;0.00466;-0.00696;0.00012;-0.15712;0.09827;-0.06534;0.02163
"souligner";-0.02192;0.00052;0.03056;0.00109;0.11912;0.02385;0.1188;0.03849;-0.23066;0.18474
"proposition";-0.30542;0.00271;0.85711;0.02313;-1.08514;0.05349;0.30306;0.00677;-0.8503;0.06785
"enseignement";0.52919;0.39109;-0.56581;0.48388;0.06935;0.01049;0.22022;0.1716;0.21841;0.21488
"constituer";0.08685;0.01075;0.10042;0.01556;-0.15525;0.05365;0.03308;0.00395;-0.10275;0.04855
"contexte";-0.20025;0.06884;0.36262;0.24429;-0.2137;0.1224;-0.19373;0.16323;-0.01043;6e-04
"depuis";0.21323;0.08201;0.09507;0.01765;-0.11442;0.03688;-0.09807;0.04395;0.00199;2e-05
"chacun";0.29002;0.06118;0.95744;0.72163;0.20601;0.0482;0.43024;0.34114;-0.04943;0.00573
"consacrer";-0.46399;0.35702;0.29131;0.15231;-0.36969;0.3539;-0.22085;0.20494;-0.17759;0.1687
